"lon","lat","Class"
-84.10435,37.75745,"A"
-86.45915,36.68937,"A"
-83.08006,37.81144,"A"
-87.01657,37.64966,"A"
-84.50035,37.55156,"A"
-82.48093,37.42701,"A"
-84.94009,38.12912,"A"
-82.5183,37.47975,"A"
-82.73412,38.1078,"A"
-86.11702,37.96027,"A"
-84.79574,39.08002,"A"
-84.90234,37.97699,"A"
-90.8493,30.1878,"A"
-93.9467,32.7817,"A"
-92.3104,31.6825,"A"
-92.37835,31.3799,"A"
-92.4976,31.1375,"A"
-92.4054,31.3058,"A"
-92.40895,32.8057,"A"
-93.2512,31.1458,"A"
-92.3104,31.6825,"A"
-92.3309,31.4871,"A"
-93.0887,31.6498,"A"
-92.2508,31.4676,"A"
-92.3495,31.3904,"A"
-91.01565,30.49905,"A"
-93.2952,31.14195,"A"
-92.6221,30.2576,"A"
-93.50845,31.5831,"A"
-92.914,32.0199,"A"
-93.45,32.895,"A"
-91.14448,32.0131,"A"
-92.46844,31.40304,"A"
-71.9023,42.6688,"A"
-71.58914,42.01496,"A"
-70.95906,41.74419,"A"
-76.82731,39.08414,"A"
-76.34047,39.67183,"A"
-84.58583,43.74,"A"
-82.53083,43.26806,"A"
-84.42722,43.59611,"A"
-87.73236,46.61183,"A"
-84.2114,43.79834,"A"
-83.60472,42.30472,"A"
-84.66833,43.5975,"A"
-85.60028,42.39472,"A"
-85.34194,43.235,"A"
-84.7602,44.4355,"A"
-86.16861,42.86361,"A"
-83.18583,43.41444,"A"
-83.27139,43.94111,"A"
-87.42407,46.47182,"A"
-84.35389,41.93,"A"
-83.92834,43.92736,"A"
-83.58,42.40611,"A"
-85.82096,44.51436,"A"
-85.05965,42.323,"A"
-84.05358,44.36434,"A"
-84.7802,41.9773,"A"
-84.72922,44.29188,"A"
-88.16701,46.5244,"A"
-88.8497,46.7691,"A"
-87.98718,46.01398,"A"
-87.48289,46.09045,"A"
-84.87524,45.91515,"A"
-87.3289,45.9642,"A"
-84.7378,42.3125,"A"
-85.95865,46.34575,"A"
-85.589,46.56725,"A"
-84.40335,44.41835,"A"
-85.41,43.21,"A"
-86.5228,46.3126,"A"
-84.04025,42.68505,"A"
-84.71,44.7,"A"
-88.28403,46.56913,"A"
-85.97613,46.18968,"A"
-86.1437,45.964,"A"
-85.86292,44.62845,"A"
-84.425,45.1475,"A"
-84.12485,44.76,"A"
-83.845,44.565,"A"
-84.6,44.17335,"A"
-84.06493,44.5256,"A"
-84.355,43.87,"A"
-85.12935,43.45135,"A"
-84.9825,43.1095,"A"
-84.165,44.94835,"A"
-84.0415,44.59665,"A"
-84.91665,46.37165,"A"
-85.00165,44.76665,"A"
-84.605,45.35665,"A"
-84.22701,42.068,"A"
-83.85985,45.40985,"A"
-85.075,44.525,"A"
-85,45,"A"
-86.21193,46.19183,"A"
-84.2995,41.871,"A"
-86.4565,43.674,"A"
-92.36145,43.80075,"A"
-93.02428,47.27147,"A"
-92.36145,43.80075,"A"
-92.53,47.5754,"A"
-93.06226,45.1836,"A"
-95.11484,46.50385,"A"
-94.98708,47.43842,"A"
-93.25262,47.52522,"A"
-93,47.5,"A"
-91.432,37.8597,"A"
-92.97639,38.04414,"A"
-91.6533,39.8397,"A"
-91.2,36.6,"A"
-91.09014,39.29007,"A"
-91.093,39.3735,"A"
-92.20055,37.82861,"A"
-93.5577,38.0944,"A"
-93.8794,37.9939,"A"
-90.0329,37.8602,"A"
-90.7517,38.039,"A"
-90.675,38.655,"A"
-93.13545,37.07354,"A"
-93.71506,37.11433,"A"
-92.59781,38.81124,"A"
-92.173,37.714,"A"
-92.425,36.615,"A"
-93.4303,37.0968,"A"
-92.8254,38.3085,"A"
-91.6253,38.28,"A"
-94.5383,37.1058,"A"
-92.9282,39.7557,"A"
-92.411,38.305,"A"
-93.614,37.3317,"A"
-93.8232,36.8133,"A"
-91.96238,38.62,"A"
-90.52987,38.69428,"A"
-93.894,37.117,"A"
-90.9525,36.66708,"A"
-93.65774,36.67065,"A"
-89.67815,36.00565,"A"
-90.39488,38.22635,"A"
-94.856,39.859,"A"
-89.6075,37.286,"A"
-93.684,37.664,"A"
-89.55949,37.236,"A"
-93.82087,37.87153,"A"
-90.53249,38.73802,"A"
-92.09264,36.97061,"A"
-90.79886,37.79465,"A"
-89.98725,36.06055,"A"
-91.16042,38.2081,"A"
-92.36771,38.9099,"A"
-89.86899,36.87593,"A"
-94.52888,37.03575,"A"
-90.66216,38.21285,"A"
-94.60989,36.51627,"A"
-92.07335,38.56724,"A"
-92.3046,36.8109,"A"
-94.16049,39.04035,"A"
-94.11218,37.85524,"A"
-90.71574,31.1603,"A"
-89.59135,33.10925,"A"
-89.6111,30.2464,"A"
-88.74805,32.3372,"A"
-88.40335,33.50025,"A"
-89.845,34.31605,"A"
-88.7496,32.2714,"A"
-89.0338,30.97675,"A"
-90.8022,33.56555,"A"
-91.08505,31.39275,"A"
-88.864,32.1806,"A"
-88.19894,34.60905,"A"
-88.77015,32.036,"A"
-88.77015,32.036,"A"
-90.19371,32.40191,"A"
-111.125,45.22417,"A"
-113.1236,48.36139,"A"
-112.7031,47.04333,"A"
-111.8861,46.76472,"A"
-113.8381,46.97694,"A"
-110.3308,46.01833,"A"
-104.1922,47.70667,"A"
-110.8069,45.66722,"A"
-112.702,46.83285,"A"
-111.9094,47.12806,"A"
-115.3903,47.62167,"A"
-114.0717,47.06032,"A"
-113.1198,46.02962,"A"
-106.8331,45.0262,"A"
-114.0125,45.82285,"A"
-112.4554,45.9754,"A"
-108.6873,47.66724,"A"
-77.2914,34.6894,"A"
-82.443,35.33975,"A"
-83.28265,35.2483,"A"
-76.29115,36.3715,"A"
-80.26915,35.2256,"A"
-80.7704,36.09945,"A"
-78.4048,35.5311,"A"
-78.63611,35.18637,"A"
-78.09365,36.21335,"A"
-80.6282,35.91965,"A"
-79.03025,36.31625,"A"
-80.0616,35.4449,"A"
-77.50434,34.53784,"A"
-81.5917,35.6267,"A"
-82.829,35.892,"A"
-76.946,35.998,"A"
-82.287,35.451,"A"
-82.321,35.618,"A"
-79.75644,35.30773,"A"
-80.375,35.75,"A"
-77.23759,34.40434,"A"
-77.90525,36.0089,"A"
-81.30889,36.31126,"A"
-81.92929,35.88561,"A"
-79.21278,35.18083,"A"
-82.05008,35.85107,"A"
-82.22121,35.75278,"A"
-77.53445,34.50917,"A"
-82.56715,35.41939,"A"
-101.3166,48.25422,"A"
-102.701,47.72964,"A"
-101.8886,47.71188,"A"
-96.7432,40.1399,"A"
-97.97573,42.76609,"A"
-96.6824,40.84792,"A"
